objectid,cdmid,title,contributor_description,curator_description,date,location,subject,collecting_area,contributed_by,photographer,digital_collection,publisher,original_format,rights_and_usage,credit_line,latitude,longitude,format
wfmp00112,216,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00086,217,Smoke blankets campus,,"A photograph of the smoke from the fire, taken from Pepperdine's campus.",2018-11-10,,fires; smoke; sun; parking lots; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00105,218,Students outside of Firestone Fieldhouse,Taken from Firestone Fieldhouse looking towards hills.,Students outside of Firestone Fieldhouse with smoke visible over hills.,2018-11-09,Firestone Fieldhouse,fires; smoke; students; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Round, Andie","Round, Andie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00091,219,Smoke blankets the Pacific Coast Highway,Taken from PCH en route towards Santa Monica the morning after the evacuation.,Video of evacuation route.,2018-11-10,Pacific Coast Highway;,fires; smoke; fire trucks; evacuations; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00090,220,Smoke blankets campus,,,2018-11-10,,fires; smoke; sun; parking lots; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","  Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00101,221,Sara Barton and others next to thank you sign,,"Group of four stands next to a sign that reads ""Thank You Firefighters!"" posted on the Pepperdine University sign at the entrance to campus",2018-11-11,Pepperdine University sign,Signs; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00089,222,Helicopter drops water,,Taken from Payson Library,2018-11-10,Payson Library; Smother's Lot;,fires; smoke; helicopters; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00096,223,Collecting letters for first responders and the Housley family,,,2018-11-10,Tyler Campus Center;,fires; smoke; Pepperdine University; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00116,224,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",Photograph includes burned structure,2018-12-14,Corral Canyon Road,fires; structures; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00099,225,Evacuated faculty and administrators,,"Faculty and administrators sheltering in the cafeteria From left to right: Hung Le, Al Sturgeon, Steve Davis, Claudette Wilson, John WIlson",2018-11-10,Tyler Campus Center,evacuations; cafeterias; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00102,226,Burn area surrounding Drescher,,,2018-11-27,Mountains above Pepperdine; Drescher Graduate Campus,fires; coastlines; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00109,227,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00084,228,Smoke billows over hills,,Video of smoke billowing over the hills shot by a Pepperdine Student who gasps in amazement.,2018-11-09,,fires; smoke; students; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Lee, Janice","Lee, Janice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00111,229,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00106,230,Smoke billows over hills,Taken from Firestone Fieldhouse looking towards hills.,,2018-11-09,Firestone Fieldhouse; Mountains above Pepperdine,fires; smoke; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Round, Andie","Round, Andie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00110,231,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00114,232,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00098,233,Students play a board game,Photograph of students play a board game while sheltring in place in the cafeteria.,,2018-11-10,Tyler Campus Center,evacuations; students; board games; cafeterias; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Barton, Sara","Barton, Sara",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00103,234,Smoke visible from Mullin Town Square,"Taken in the Smothers parking lot, looking northwest towards Drescher.",,2018-11-09,Mullin Town Square,smoke; fires; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Oumsang, Alicia","Oumsang, Alicia",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00113,235,Burn area off Corral Canyon Road,"Scenes from Corral Canyon Road of burn areas, including scorched trees.",,2018-12-14,Corral Canyon Road,fires; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Nykanen, Melissa","Nykanen, Melissa",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00122,238,Burn Area,"video footage taken on January 11, 2019 driving south on PCH from Heathercliff Road and up Kanan Road to the Highway 101 entrance. (Note that the date on the footage is incorrect.)","Dashcam footage of Malibu after the Woolsey Fire. Video 5 of 8, taken on Kanan Road.",2019-01-11,Kanan Dume Road,fires; driving; roads; mountains; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Tsay, Alice","Tsay, Alice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,video/mp4
wfmp00171,242,Smoke behind Pepperdine,"Taken from in front of Pepperdine, the Cross Tower and Stauffer Chapel shown.",,2018-11-09,Alumni Park;,smoke; fires; crosses; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Trejo, Genesis Trirene","Trejo, Genesis Trirene",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00180,243,Cross,"On November 3rd, five days before the Woosley Fire I took a friend of mine on a hike to the cross. Attached below is the photo I took that day. I am pretty confident that this is the last photo of the cross before it burned in the Woosley Fire. I was happy to hear that a new one was put in its place.",,2018-11-03,Mountains above Pepperdine;,crosses; coastlines; Pepperdine University; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Williamson, Kaitlyn","Williamson, Kaitlyn",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00150,244,Traffic during Malibu evacuation,,,2018-11-09,Kanan Dume Road,evacuations; traffic; automobiles; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Allison, Treeton","Allison, Treeton",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00146,245,Fire perimeter and evacuation zones,,Screenshot taken by student of map on vcemergency.com. Yellow dot represents student's apartment.,2018-11-09; 2018-11-10; 2018-11-11,Ventura County; Calamigos Ranch,fires; digital maps; Pepperdine University; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Allison, Treeton","Allison, Treeton",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00149,246,Burned home,Calamigos Ranch. Pepperdine student’s lost house and experience during fire.,,2018-11-13,Calamigos Ranch,fires; houses; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Allison, Treeton","Allison, Treeton",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00167,247,Students sleep in cafeteria,,Students shelter-in-place in the cafeteria.,2018-11-10,Tyler Campus Center;,evacuations; students; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Hao, Yujie","Hao, Yujie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00152,248,Student surveys his burned home,Calamigos Ranch. Pepperdine student’s lost house and experience during fire.,,2018-11-13,Calamigos Ranch,fires; houses; students; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Allison, Treeton","Allison, Treeton",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00187,249,Smoke over Malibu,View from PCH,Photograph taken while driving from Malibu to Santa Monica looking west towards the large cloud of smoke.,2018-11-09,Pacific Coast Highway;,smoke; fires; traffic; evacuations; driving; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Powers, Thomas","Powers, Thomas",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00127,250,Burn area along Pacific Coast Highway,"Photos taken on November 19, 2018 from the car along PCH between Pepperdine and Heathercliff Road.",,2018-11-19,Pacific Coast Highway,fires; roads; coastlines; driving; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Tsay, Alice","Tsay, Alice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00182,251,Burn area at Pepperdine,Graziadio from Page lot.,,2018-11-18,Page Residential Complex; Drescher Graduate Campus,fires; parking lots; athletic fields; mountains; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Powers, Thomas","Powers, Thomas",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00162,253,Sun sets behind smoke,,The sun glows behind a cloud of smoke as it sets over the Pacific. Taken from the Sandbar Patio looking southwest towards Point Dume.,2018-11-09,Tyler Campus Center;,smoke; fires; sunset; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Hao, Yujie","Hao, Yujie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00166,254,Glow of fire above mountains,,Fire's glow visible behind mountains in this photograph taken from the Smother's parking lot.,2018-11-09,Smother's Lot; Mountains above Pepperdine;,fires; parking lots; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Hao, Yujie","Hao, Yujie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00190,255,Malibu in car mirror,"I was on PCH evacuating to a friend's house, and I took a picture of the smoke using my side mirrors. The smoke was absolutely massive, and it looked like it was about to loom all over Malibu.",,2018-11-09,Pacific Coast Highway;,smoke; fires; driving; traffic; evacuations; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Chung, Esther","Chung, Esther",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00181,258,Burned cars,,A photograph of cars destroyed by fire in the Rho Parking lot.,2018-11-18,Rho Lot,automobiles; parking lots; mountains; fires; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Powers, Thomas","Powers, Thomas",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00143,259,Smoke approaches Pepperdine,Taken from Smothers parking lot at Pepperdine university.,Smoke visible above Smothers Theater and Weisman Museum.,2018-11-09,Smother's Lot,smoke; fires; parking lots; automobiles; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Skinner, Ryane","Skinner, Ryane",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00140,260,Burned home on Dume Drive,Photos of homes on Dume Drive.,,2018-11-19,Dume Drive,fires; houses; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Tsay, Alice","Tsay, Alice",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00172,261,Smoke behind Pepperdine,"Taken from in front of Pepperdine, The Cross Tower and Stauffer Chapel shown.",Photograph of smoke billowing over campus taken from Alumni Park looking north.,2018-11-09,Alumni Park;,smoke; fires; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Trejo, Genesis Trirene","Trejo, Genesis Trirene",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00189,262,Malibu in car mirror,"I was on PCH evacuating to a friend's house, and I took a picture of the smoke using my side mirrors. The smoke was absolutely massive, and it looked like it was about to loom all over Malibu.",,2018-11-09,Pacific Coast Highway;,smoke; fires; driving; traffic; evacuations; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Chung, Esther","Chung, Esther",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00186,263,Fire cresting mountains,View from Payson Library,,2018-11-10,Payson Library; Mountains above Pepperdine;,fires; evacuations; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Powers, Thomas","Powers, Thomas",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00160,264,Smoke visible from Mullin Town Square,,Smoke billows over mountains surrounding Pepperdine in photograph taken from Smothers parking lot.,2018-11-09,Smother's Lot; Mountains above Pepperdine,smoke; fires; Pepperdine University; wildfires,University Archives; Malibu Historical Collection;,"Hao, Yujie","Hao, Yujie",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00168,265,Smoke over Malibu,The photo of the smoke was taken next to the Chevron gas station.,Cars sit in traffic evacuating Malibu. Photograph looks west towards Pepperdine.,2018-11-09,Pacific Coast Highway;,smoke; fires; evacuations; traffic; Pepperdine University; Malibu (Calif.); wildfires,University Archives; Malibu Historical Collection;,"Alexander, Chanse Henderson","Alexander, Chanse Henderson",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
